 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
|           Category           |         Subcategory          |         Product Type         | Kid's & Baby Flag  |      Men Flag      |    Mother Flag     |  Night Care Flag   |
|                              |                              |          face_oils           |                    |                    |                    |                    |
|                              |                              |    mists_waters_essences     |                    |                    |                    |                    |
|                              |                              |         moisturizers         |                    |                    |                    |                    |
|                              |                              |         night_creams         |                    |                    |                    |         Y          |
|                              |                              |     tinted_moisturizers      |                    |                    |                    |                    |
|                              |      treatments_serums       |   blemish_acne_treatments    |                    |                    |                    |                    |
|                              |                              |     dark_spot_treatments     |                    |                    |                    |                    |
|                              |                              |         face_serums          |                    |                    |                    |                    |
|                              |                              |         night_serums         |                    |                    |                    |         Y          |
 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
|           sun_care           |           sun_care           |        after_sun_care        |                    |                    |                    |                    |
|                              |                              |        body_sunscreen        |                    |                    |                    |                    |
|                              |                              |        face_sunscreen        |                    |                    |                    |                    |
|                              |                              |       sport_sunscreen        |                    |                    |                    |                    |
 ------------------------------+------------------------------+------------------------------+--------------------+--------------------+--------------------+--------------------
